Country or Area,Year,City,City type,Value
Åland Islands,2020,MARIEHAMN,City proper,11692.0
Åland Islands,2019,MARIEHAMN,City proper,11711.0
Åland Islands,2018,MARIEHAMN,City proper,11709.0
Åland Islands,2017,MARIEHAMN,City proper,11621.0
Åland Islands,2016,MARIEHAMN,City proper,11513.0
Åland Islands,2015,MARIEHAMN,City proper,11471.0
Åland Islands,2014,MARIEHAMN,City proper,11437.0
Åland Islands,2013,MARIEHAMN,City proper,11370.0
Åland Islands,2012,MARIEHAMN,City proper,11304.5
Åland Islands,2011,MARIEHAMN,City proper,11226.5
Åland Islands,2010,MARIEHAMN,City proper,11156.5
Åland Islands,2009,MARIEHAMN,City proper,11064.0
Åland Islands,2008,MARIEHAMN,City proper,10954.0
Åland Islands,2007,MARIEHAMN,City proper,10863.0
Åland Islands,2000,MARIEHAMN,City proper,10488.0
Albania,2011,Durrës,City proper,113249.0
Albania,2011,TIRANA,City proper,418495.0
Albania,2003,TIRANA,City proper,392863.0
Algeria,2008,Adrar,City proper,200834.0
Algeria,2008,Ain Defla,City proper,450280.0
Algeria,2008,Ain Temouchent,City proper,299341.0
Algeria,2008,Annaba,City proper,442230.0
Algeria,2008,Batna,City proper,768444.0
Algeria,2008,Béchar,City proper,236213.0
Algeria,2008,Bejaïa,City proper,559981.0
Algeria,2008,Beskra (Biskra),City proper,563245.0
Algeria,2008,Bordj Bou Arreridj,City proper,422986.0
Algeria,2008,Bouira,City proper,372196.0
Algeria,2008,Boumerdes,City proper,459250.0
Algeria,2008,Chlef,City proper,521070.0
Algeria,2008,El Bayadh,City proper,192958.0
Algeria,2008,El Boulaïda (Blida),City proper,719515.0
Algeria,2008,ALGIERS (EL DJAZAIR),City proper,2712944.0
Algeria,2008,El Djelfa,City proper,825411.0
Algeria,2008,El Oued,City proper,495573.0
Algeria,2008,El Tarf,City proper,230157.0
Algeria,2008,Ghardaïa,City proper,355701.0
Algeria,2008,Ghilizane (Relizane),City proper,432386.0
Algeria,2008,Guelma,City proper,363716.0
Algeria,2008,Jijel,City proper,391096.0
Algeria,2008,Khenchela,City proper,288849.0
Algeria,2008,Laghouat,City proper,371204.0
Algeria,2008,Lemdiyya (Médéa),City proper,519383.0
Algeria,2008,Mestghanem (Mostaganem),City proper,338143.0
Algeria,2008,Mila,City proper,440735.0
Algeria,2008,Mouaskar (Mascara),City proper,513432.0
Algeria,2008,M'Sila,City proper,666848.0
Algeria,2008,Naama,City proper,160381.0
Algeria,2008,Oum El Bouaghi,City proper,467997.0
Algeria,2008,Qacentina (Constantine),City proper,717646.0
Algeria,2008,Saïda,City proper,248939.0
Algeria,2008,Sidi-bel-Abbès,City proper,517836.0
Algeria,2008,Skikda,City proper,543402.0
Algeria,2008,Souq Ahras,City proper,308319.0
Algeria,2008,Stif (Sétif),City proper,856457.0
Algeria,2008,Tamanrasset,City proper,136822.0
Algeria,2008,Tbessa (Tébessa),City proper,515786.0
Algeria,2008,Tihert (Tiaret),City proper,637991.0
